ALDER;CIVILSTAND;TID;INDHOLD
41 år;Ugift;2020K1;22456
41 år;Gift/separeret;2020K1;39838
42 år;Ugift;2020K1;21067
42 år;Gift/separeret;2020K1;40059
43 år;Ugift;2020K1;21017
43 år;Gift/separeret;2020K1;41543
44 år;Ugift;2020K1;21776
44 år;Gift/separeret;2020K1;45030
45 år;Ugift;2020K1;20381
45 år;Gift/separeret;2020K1;44617
46 år;Ugift;2020K1;19715
46 år;Gift/separeret;2020K1;44018
47 år;Ugift;2020K1;19645
47 år;Gift/separeret;2020K1;46264
48 år;Ugift;2020K1;18729
48 år;Gift/separeret;2020K1;45846
49 år;Ugift;2020K1;17145
49 år;Gift/separeret;2020K1;43787
50 år;Ugift;2020K1;16695
50 år;Gift/separeret;2020K1;43754
51 år;Ugift;2020K1;16658
51 år;Gift/separeret;2020K1;45259
52 år;Ugift;2020K1;17448
52 år;Gift/separeret;2020K1;48008
53 år;Ugift;2020K1;17965
53 år;Gift/separeret;2020K1;51658
54 år;Ugift;2020K1;16784
54 år;Gift/separeret;2020K1;50227
55 år;Ugift;2020K1;16170
55 år;Gift/separeret;2020K1;49022
56 år;Ugift;2020K1;15431
56 år;Gift/separeret;2020K1;48175
57 år;Ugift;2020K1;13820
57 år;Gift/separeret;2020K1;45683
58 år;Ugift;2020K1;13024
58 år;Gift/separeret;2020K1;44732
59 år;Ugift;2020K1;12441
59 år;Gift/separeret;2020K1;44628
60 år;Ugift;2020K1;11437
60 år;Gift/separeret;2020K1;43270
61 år;Ugift;2020K1;11026
61 år;Gift/separeret;2020K1;43537
62 år;Ugift;2020K1;10442
62 år;Gift/separeret;2020K1;43164
63 år;Ugift;2020K1;9790
63 år;Gift/separeret;2020K1;43623
64 år;Ugift;2020K1;9143
64 år;Gift/separeret;2020K1;42642
65 år;Ugift;2020K1;8271
65 år;Gift/separeret;2020K1;41649
66 år;Ugift;2020K1;7794
66 år;Gift/separeret;2020K1;42260
67 år;Ugift;2020K1;7008
67 år;Gift/separeret;2020K1;41108
68 år;Ugift;2020K1;6264
68 år;Gift/separeret;2020K1;40152
69 år;Ugift;2020K1;5745
69 år;Gift/separeret;2020K1;40767
70 år;Ugift;2020K1;5024
70 år;Gift/separeret;2020K1;40217
71 år;Ugift;2020K1;4703
71 år;Gift/separeret;2020K1;41737
72 år;Ugift;2020K1;4456
72 år;Gift/separeret;2020K1;43342
73 år;Ugift;2020K1;4106
73 år;Gift/separeret;2020K1;43481
74 år;Ugift;2020K1;3491
74 år;Gift/separeret;2020K1;40477
75 år;Ugift;2020K1;3078
75 år;Gift/separeret;2020K1;36323
76 år;Ugift;2020K1;2606
76 år;Gift/separeret;2020K1;31631
77 år;Ugift;2020K1;2139
77 år;Gift/separeret;2020K1;28282
78 år;Ugift;2020K1;1774
78 år;Gift/separeret;2020K1;23509
79 år;Ugift;2020K1;1614
79 år;Gift/separeret;2020K1;21114
80 år;Ugift;2020K1;1461
80 år;Gift/separeret;2020K1;18436
81 år;Ugift;2020K1;1350
81 år;Gift/separeret;2020K1;16566
82 år;Ugift;2020K1;1175
82 år;Gift/separeret;2020K1;14135
83 år;Ugift;2020K1;1022
83 år;Gift/separeret;2020K1;11892
84 år;Ugift;2020K1;919
84 år;Gift/separeret;2020K1;9559
85 år;Ugift;2020K1;771
85 år;Gift/separeret;2020K1;7791
86 år;Ugift;2020K1;693
86 år;Gift/separeret;2020K1;6301
87 år;Ugift;2020K1;602
87 år;Gift/separeret;2020K1;4885
88 år;Ugift;2020K1;545
88 år;Gift/separeret;2020K1;3897
89 år;Ugift;2020K1;490
89 år;Gift/separeret;2020K1;2934
90 år;Ugift;2020K1;391
90 år;Gift/separeret;2020K1;2198
91 år;Ugift;2020K1;340
91 år;Gift/separeret;2020K1;1689
92 år;Ugift;2020K1;268
92 år;Gift/separeret;2020K1;1174
93 år;Ugift;2020K1;213
93 år;Gift/separeret;2020K1;837
94 år;Ugift;2020K1;187
94 år;Gift/separeret;2020K1;527
95 år;Ugift;2020K1;142
95 år;Gift/separeret;2020K1;303
96 år;Ugift;2020K1;90
96 år;Gift/separeret;2020K1;171
97 år;Ugift;2020K1;63
97 år;Gift/separeret;2020K1;110
98 år;Ugift;2020K1;66
98 år;Gift/separeret;2020K1;51
99 år;Ugift;2020K1;41
99 år;Gift/separeret;2020K1;40
100 år;Ugift;2020K1;12
100 år;Gift/separeret;2020K1;18
101 år;Ugift;2020K1;13
101 år;Gift/separeret;2020K1;13
102 år;Ugift;2020K1;8
102 år;Gift/separeret;2020K1;4
103 år;Ugift;2020K1;4
103 år;Gift/separeret;2020K1;3
104 år;Ugift;2020K1;3
104 år;Gift/separeret;2020K1;0
105 år;Ugift;2020K1;2
105 år;Gift/separeret;2020K1;0
106 år;Ugift;2020K1;0
106 år;Gift/separeret;2020K1;1
107 år;Ugift;2020K1;1
107 år;Gift/separeret;2020K1;0
108 år;Ugift;2020K1;0
108 år;Gift/separeret;2020K1;0
109 år;Ugift;2020K1;0
109 år;Gift/separeret;2020K1;0
110 år;Ugift;2020K1;0
110 år;Gift/separeret;2020K1;0
111 år;Ugift;2020K1;0
111 år;Gift/separeret;2020K1;0
112 år;Ugift;2020K1;0
112 år;Gift/separeret;2020K1;0
113 år;Ugift;2020K1;0
113 år;Gift/separeret;2020K1;0
114 år;Ugift;2020K1;0
114 år;Gift/separeret;2020K1;0
115 år;Ugift;2020K1;0
115 år;Gift/separeret;2020K1;0
116 år;Ugift;2020K1;0
116 år;Gift/separeret;2020K1;0
117 år;Ugift;2020K1;0
117 år;Gift/separeret;2020K1;0
118 år;Ugift;2020K1;0
118 år;Gift/separeret;2020K1;0
119 år;Ugift;2020K1;0
119 år;Gift/separeret;2020K1;0
120 år;Ugift;2020K1;0
120 år;Gift/separeret;2020K1;0
121 år;Ugift;2020K1;0
121 år;Gift/separeret;2020K1;0
122 år;Ugift;2020K1;0
122 år;Gift/separeret;2020K1;0
123 år;Ugift;2020K1;0
123 år;Gift/separeret;2020K1;0
124 år;Ugift;2020K1;0
124 år;Gift/separeret;2020K1;0
125 år;Ugift;2020K1;0
125 år;Gift/separeret;2020K1;0
